Place,Lat,Long
queenstown,-45.0321923,168.661
victoria,-36.5986096,144.6780052
yokohama,35.4443947,139.6367727
japan,36.5748441,139.2394179
nagasaki,33.1154683,129.7874339
shanghai,31.2322758,121.4692071
formosa,23.9739374,120.9820179
nankin,32.0615513,118.7915619
hong,28.687547,115.8540042
hong kong,22.2793278,114.1628131
macao,22.1899448,113.5380454
china,35.000074,104.999927
singapore,1.357107,103.8194992
malacca,2.3293744,102.2880962
calcutta,22.5726459,88.3638953
patna,25.6093239,85.1235252
ghazipur,25.603508400000003,83.50745404887138
benares,25.3356491,83.0076292
allahabad,25.4381302,81.8338005
ceylon,7.5554942,80.7137847
madras,13.0836939,80.270186
india,22.3511148,78.6677428
parsee,13.05282715,77.59527917458763
cochin,9.9674277,76.2454436
goa,15.3004543,74.0855134
bombay,19.0785451,72.878176
aden,12.833333,44.916667
bab-el-mandeb,12.574376350000001,43.31281581252398
jordan,31.1667049,36.941628
quarter\r\nof,32.9225287,35.2939544
athens,37.9839412,23.7283052
sweden,59.6749712,14.5208584
hamburg,53.550341,10.000654
u.s.,48.684055799999996,9.009657397144327
norway,61.1529386,8.7876653
turin,45.0677551,7.6824892
holland,52.2434979,5.6343227
passepartout,51.6952779,5.2130932
moines,43.6978036,4.6396977
as\r\nan,52.0008794,4.3740446
paris,48.8588897,2.3200410217200766
france,46.603354,1.8883335
calais,50.9524769,1.8538446
dover,51.1251275,1.3134228
kent,51.20707485,0.7210361813401444
the city of the,51.5038759,0.0500672
the greenwich meridian,53.6787499,-0.0016494
sydenham,51.4267658,-0.0523877
great salt,51.5152486,-0.12171447271429131
london,51.5073359,-0.12765
marylebone,51.5232789,-0.155596
bordeaux,44.841225,-0.5800364
england,52.5310214,-1.2649062
southampton,50.9025349,-1.404189
birmingham,52.4796992,-1.9026911
manchester,53.4794892,-2.2451148
the empire of the,51.3821247,-2.357756491256138
liverpool,53.4071991,-2.99168
edinburgh,55.9533456,-3.1883749
scotland,56.7861112,-4.1140518
glasgow,55.8606182,-4.2497933
kong,9.148681,-4.610648
dublin,53.3498006,-6.2602964
up\r\nto,-29.8744305,-50.5175467
brazil,-10.3333333,-53.2
vermont,44.5990718,-72.5002608
long island,40.85149705,-73.0994258107431
san,7.0000085,-73.2500086
great island,41.0523192,-73.4712316
new york,40.7127281,-74.0060152
jersey city,40.7215682,-74.047455
kingdom,42.9289603,-74.9757107
peru,-6.8699697,-75.0458515
saville,40.4384144,-77.3958209
pennsylvania,40.9699889,-77.7278831
albemarle,38.0085107,-78.6086754
plum creek,40.6974384,-79.3240967
pittsburgh,40.4416941,-79.9900861
indian,37.0876141,-81.7581697
ohio,40.2253569,-82.6881395
columbus,39.9622601,-83.0007065
fort wayne,41.0799898,-85.1386015
bengal,39.4735045,-85.9228997
indiana,40.3270127,-86.1746933
chicago,41.8755616,-87.6244212
illinois,40.0796606,-89.4337288
mississippi,32.9715285,-89.7348497
wyoming territory,43.1261037,-90.1117904
schuyler,40.1370869,-90.5697373
rock island,41.4411786,-90.5766144
davenport,41.5235808,-90.5770967
cedar,41.7608608,-91.1263198
nauvoo,40.550042,-91.3848749
iowa city,41.6612561,-91.5299106
arkansas,35.2048883,-92.4479108
missouri,38.7604815,-92.5617875
iowa,41.9216734,-93.3122705
creek valley,44.88441,-93.3776959
independence,39.0924792,-94.4137923
omaha,41.2587459,-95.9383758
sioux,43.0574079,-96.1602368
creek,35.8830723,-96.3835476
colfax,41.5738643,-97.0828487
gentiles,20.177778,-97.168889
sedgwick,37.6448148,-97.4641388
the united states,29.6330078,-97.98859404468138
fort kearney,40.6429024,-99.00610124462068
nebraska,41.7370229,-99.5873816
america,39.7837304,-100.445882
united states,39.7837304,-100.445882
north platte,41.1238873,-100.7654232
julesburg,40.988326,-102.264352
yankee,36.9450241,-104.3280387
colorado,38.7251776,-105.607716
wyoming,43.1700264,-107.568534
havre,48.5536972,-109.677802
utah,39.4225192,-111.714358
ogden,41.2230048,-111.9738429
elko,41.1958128,-115.3272864
california,36.7014631,-118.755997
the sierra nevada,39.52712945,-119.8151508989904
oregon,43.9792797,-120.737257
sacramento,38.5810606,-121.493895
kirkland,47.6859573,-122.1920249
oakland,37.8044557,-122.271356
san francisco,37.7790262,-122.419906
